"https://tienda.mercadona.es/product/10806/leche-semidesnatada-cabra-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada de cabra Hacendado","Pack-6","10.50","1.750","l","2022-12-07","10806"
"https://tienda.mercadona.es/product/10812/leche-semidesnatada-cabra-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada de cabra Hacendado","Brick","1.75","1.750","l","2022-12-07","10812"
"https://tienda.mercadona.es/product/10813/leche-desnatada-calcio-puleva-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada calcio Puleva","Brick","1.49","1.490","l","2022-12-07","10813"
"https://tienda.mercadona.es/product/10814/bebida-lactea-semidesnatada-con-fibra-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea semidesnatada con fibra Hacendado","Pack-6","6.36","1.060","l","2022-12-07","10814"
"https://tienda.mercadona.es/product/10820/bebida-lactea-con-cereales-crecimiento-desarrollo-puleva-max-3-anos-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea con cereales crecimiento y desarrollo Puleva Max","Pack-6","11.10","1.850","l","2022-12-07","10820"
"https://tienda.mercadona.es/product/10826/bebida-lactea-semidesnatada-con-fibra-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea semidesnatada con fibra Hacendado","Brick","1.06","1.060","l","2022-12-07","10826"
"https://tienda.mercadona.es/product/10884/bebida-lactea-omega-3-puleva-con-leche-desnatada-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea Omega 3 Puleva con leche desnatada","Brick","1.79","1.790","l","2022-12-07","10884"
"https://tienda.mercadona.es/product/10922/leche-semidesnatada-fresca-hacendado-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada fresca Hacendado","Botella","1.08","1.080","l","2022-12-07","10922"
"https://tienda.mercadona.es/product/10933/leche-entera-fresca-hacendado-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera fresca Hacendado","Botella","1.09","1.090","l","2022-12-07","10933"
"https://tienda.mercadona.es/product/11007/cafe-grano-mezcla-fuerte-hacendado-paquete","cacao_cafe_e_infusiones_cafe_molido_y_en_grano","Café en grano mezcla fuerte Hacendado","Paquete","6.95","6.950","kg","2022-12-07","11007"
"https://tienda.mercadona.es/product/11021/cafe-grano-descafeinado-natural-hacendado-paquete","cacao_cafe_e_infusiones_cafe_molido_y_en_grano","Café en grano descafeinado natural Hacendado","Paquete","4.20","8.400","kg","2022-12-07","11021"
"https://tienda.mercadona.es/product/11049/cafe-soluble-clasico-hacendado-sobres-caja","cacao_cafe_e_infusiones_cafe_soluble_y_otras_bebidas","Café soluble clásico Hacendado en sobres","Caja","0.90","4.500","100 g","2022-12-07","11049"
"https://tienda.mercadona.es/product/11051/cafe-soluble-sobres-descafeinado-hacendado-caja","cacao_cafe_e_infusiones_cafe_soluble_y_otras_bebidas","Café soluble en sobres descafeinado Hacendado","Caja","1.00","5.000","100 g","2022-12-07","11051"
"https://tienda.mercadona.es/product/11054/te-rojo-hacendado-caja","cacao_cafe_e_infusiones_te_e_infusiones","Té rojo Hacendado","Caja","1.00","2.500","100 g","2022-12-07","11054"
"https://tienda.mercadona.es/product/11061/infusion-frutos-rojos-hacendado-caja","cacao_cafe_e_infusiones_te_e_infusiones","Infusión frutos rojos Hacendado","Caja","1.35","3.375","100 g","2022-12-07","11061"
"https://tienda.mercadona.es/product/11062/cafe-con-leche-capsula-hacendado-compatibles-maquinas-dolce-gusto-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café con leche en cápsula Hacendado","Caja","3.30","20.625","kg","2022-12-07","11062"
"https://tienda.mercadona.es/product/11065/cafe-cortado-capsula-hacendado-compatibles-maquinas-dolce-gusto-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café cortado en cápsula Hacendado","Caja","3.30","32.739","kg","2022-12-07","11065"
"https://tienda.mercadona.es/product/11066/cafe-cortado-capsula-descafeinado-hacendado-compatibles-maquinas-dolce-gusto-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café cortado en cápsula descafeinado Hacendado","Caja","3.30","33.267","kg","2022-12-07","11066"
"https://tienda.mercadona.es/product/11067/preparado-leche-capsula-hacendado-compatibles-maquinas-dolce-gusto-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Preparado de leche en cápsula Hacendado","Caja","3.30","12.133","kg","2022-12-07","11067"
